federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,survey_date,survey_type,deficiency_prefix,deficiency_category,deficiency_tag_number,tag_version,deficiency_description,scope_severity_code,deficiency_corrected,correction_date,inspection_cycle,standard_deficiency,complaint_deficiency,infection_control_inspection_deficiency,location,processing_date
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,7/9/19,Fire Safety,E,Emergency Preparedness Deficiencies,26,New,Establish roles under a Waiver declared by secretary.,D,"Deficient, Provider has date of correction",8/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,7/9/19,Fire Safety,E,Emergency Preparedness Deficiencies,33,New,Establish methods for sharing information.,D,"Deficient, Provider has date of correction",8/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,7/9/19,Fire Safety,E,Emergency Preparedness Deficiencies,35,New,Provide family notifications of emergency plan.,D,"Deficient, Provider has date of correction",8/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,Egress Deficiencies,211,New,"Keep aisles, corridors, and exits free of obstruction in case of emergency.",F,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,Egress Deficiencies,222,New,Add doors in an exit area that do not require the use of a key from the exit side unless in case of special locking arrangements.,F,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,Egress Deficiencies,291,New,Install emergency lighting that can last at least 1 1/2 hours.,D,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,Egress Deficiencies,293,New,"Have properly located and lighted ""Exit"" signs.",F,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,Smoke Deficiencies,311,New,Have an enclosure around a vertical opening shaft.,F,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,Smoke Deficiencies,353,New,"Inspect, test, and maintain automatic sprinkler systems.",F,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,6/14/18,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",920,New,Ensure proper usage of power strips and extension cords.,F,"Deficient, Provider has date of correction",7/16/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,3/15/18,Fire Safety,E,Emergency Preparedness Deficiencies,4,New,Develop and maintain an Emergency Preparedness Program (EP).,F,"Deficient, Provider has date of correction",4/26/18,3,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,1/27/22,Fire Safety,K,Smoke Deficiencies,345,New,"Have approved installation, maintenance and testing program for fire alarm systems.",D,"Deficient, Provider has date of correction",3/9/22,1,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,1/27/22,Fire Safety,K,Smoke Deficiencies,362,New,Ensure that corridors are separated from use areas by walls constructed to limit the passage of smoke.,D,"Deficient, Provider has date of correction",3/9/22,1,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,1/27/22,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",914,New,"Ensure receptacles at patient bed locations and where general anesthesia is administered, are tested after initial installation, replacement or servicing.",D,"Deficient, Provider has date of correction",3/9/22,1,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,2/5/20,Fire Safety,K,Egress Deficiencies,211,New,"Keep aisles, corridors, and exits free of obstruction in case of emergency.",D,"Deficient, Provider has date of correction",4/15/20,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,2/5/20,Fire Safety,K,Egress Deficiencies,222,New,Add doors in an exit area that do not require the use of a key from the exit side unless in case of special locking arrangements.,D,"Deficient, Provider has date of correction",4/15/20,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,2/5/20,Fire Safety,K,Smoke Deficiencies,353,New,"Inspect, test, and maintain automatic sprinkler systems.",D,"Deficient, Provider has date of correction",4/15/20,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,2/5/20,Fire Safety,K,Miscellaneous Deficiencies,711,New,Provide a written emergency evacuation plan.,D,"Deficient, Provider has date of correction",4/15/20,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,2/5/20,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",918,New,Have generator or other power source capable of supplying service within 10 seconds.,D,"Deficient, Provider has date of correction",4/15/20,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,2/5/20,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",920,New,Ensure proper usage of power strips and extension cords.,D,"Deficient, Provider has date of correction",4/15/20,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/10/19,Fire Safety,E,Emergency Preparedness Deficiencies,29,New,Develop a communication plan.,C,"Deficient, Provider has date of correction",11/24/19,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/10/19,Fire Safety,E,Emergency Preparedness Deficiencies,39,New,Conduct testing and exercise requirements.,C,"Deficient, Provider has date of correction",11/24/19,2,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,Egress Deficiencies,211,New,"Keep aisles, corridors, and exits free of obstruction in case of emergency.",D,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,Smoke Deficiencies,325,New,Have properly installed hallway dispensers for alcohol-based hand rub.,F,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,Smoke Deficiencies,345,New,"Have approved installation, maintenance and testing program for fire alarm systems.",D,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,Smoke Deficiencies,353,New,"Inspect, test, and maintain automatic sprinkler systems.",F,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,Smoke Deficiencies,355,New,"Properly select, install, inspect, or maintain portable fire extinguishes.",D,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,Services Deficiencies,511,New,Have properly installed electrical wiring and gas equipment.,E,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",920,New,Ensure proper usage of power strips and extension cords.,F,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,10/29/18,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",923,New,Have proper medical gas storage and administration areas.,E,"Deficient, Provider has date of correction",12/18/18,3,Y,N,N,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Egress Deficiencies,221,New,Provide rooms that can be unlocked from inside without a key.,E,"Deficient, Provider has date of correction",9/23/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Egress Deficiencies,222,New,Add doors in an exit area that do not require the use of a key from the exit side unless in case of special locking arrangements.,E,"Deficient, Provider has date of correction",9/23/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Egress Deficiencies,291,New,Install emergency lighting that can last at least 1 1/2 hours.,E,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Smoke Deficiencies,345,New,"Have approved installation, maintenance and testing program for fire alarm systems.",F,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Smoke Deficiencies,353,New,"Inspect, test, and maintain automatic sprinkler systems.",E,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Smoke Deficiencies,372,New,Ensure smoke barriers are constructed to a 1 hour fire resistance rating.,D,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Services Deficiencies,511,New,Have properly installed electrical wiring and gas equipment.,F,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Services Deficiencies,521,New,Ensure heating and ventilation systems that have been properly installed according to the manufacturer's instructions.,E,Waiver has been granted,12/14/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Services Deficiencies,531,New,Have elevators that firefighters can control in the event of a fire.,D,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,Miscellaneous Deficiencies,761,New,"To conduct inspection, testing and maintenance of fire doors by qualified individuals.",F,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/6/21,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",918,New,Have generator or other power source capable of supplying service within 10 seconds.,E,"Deficient, Provider has date of correction",11/10/21,1,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,Egress Deficiencies,223,New,Provide exit doors that are held open by devices that will automatically close on the activation of a fire alarm or smoke detector.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,Egress Deficiencies,232,New,Have corridors or aisles that are unobstructed and are at least 8 feet in width.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,Smoke Deficiencies,345,New,"Have approved installation, maintenance and testing program for fire alarm systems.",F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,Smoke Deficiencies,351,New,Install an approved automatic sprinkler system.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,Smoke Deficiencies,353,New,"Inspect, test, and maintain automatic sprinkler systems.",F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,Miscellaneous Deficiencies,753,New,Have restrictions on the use of highly flammable decorations.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",912,New,Have power receptacles that are properly grounded.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",920,New,Ensure proper usage of power strips and extension cords.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,11/28/18,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",923,New,Have proper medical gas storage and administration areas.,F,"Deficient, Provider has date of correction",1/24/19,2,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Egress Deficiencies,222,New,Add doors in an exit area that do not require the use of a key from the exit side unless in case of special locking arrangements.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Smoke Deficiencies,321,New,Ensure that special areas are constructed so that walls can resist fire for one hour or have an approved fire extinguishing system.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Smoke Deficiencies,325,New,Have properly installed hallway dispensers for alcohol-based hand rub.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Smoke Deficiencies,345,New,"Have approved installation, maintenance and testing program for fire alarm systems.",F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Smoke Deficiencies,353,New,"Inspect, test, and maintain automatic sprinkler systems.",F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Services Deficiencies,511,New,Have properly installed electrical wiring and gas equipment.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Services Deficiencies,521,New,Ensure heating and ventilation systems that have been properly installed according to the manufacturer's instructions.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Services Deficiencies,531,New,Have elevators that firefighters can control in the event of a fire.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,Miscellaneous Deficiencies,741,New,"Have posted ""No-smoking"" signs in areas where smoking is not permitted or ashtrays provided where smoking was allowed.",F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",918,New,Have generator or other power source capable of supplying service within 10 seconds.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
495013,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,8/18/17,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",921,New,Ensure that testing and maintenance of electrical equipment is performed.,F,"Deficient, Provider has date of correction",10/6/17,3,Y,N,N,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",7/1/22
