FPN,AVE_DailyResidents,AVE_DailyNursingStaff,lat,long,provider_name,provider_address,provider_city,provider_state,provider_zip_code,provider_phone_number,provider_ssa_county_code,provider_county_name,ownership_type,number_of_certified_beds,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,rn_staffing_rating,rn_staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_5932,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_number_of_complaint_health_deficiencies,rating_cycle_2_health_deficiency_score,rating_cycle_2_number_of_health_revisits,rating_cycle_2_health_revisit_score,rating_cycle_2_total_health_score,rating_cycle_3_standard_health_survey_date,rating_cycle_3_total_number_of_health_deficiencies,rating_cycle_3_number_of_standard_health_deficiencies,rating_cycle_3_number_of_complaint_health_deficiencies,rating_cycle_3_health_deficiency_score,rating_cycle_3_number_of_health_revisits,rating_cycle_3_health_revisit_score,rating_cycle_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,processing_date
495068,154,60,36.8654723,-76.3017158,SIGNATURE HEALTHCARE OF NORFOLK,1005 HAMPTON BLVD,NORFOLK,VA,23507,7576235602,641,Norfolk City,For profit - Partnership,169,Medicare and Medicaid,N,LP NORFOLK LLC,01/27/70,N,NA,N,Y,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,2,NA,2,NA,2,NA,NA,NA,1.78572,0.76768,0.38271,1.15038,2.9361,2.50674,0.24689,0.02295,52,NA,64.7,NA,2,NA,1.83236,0.72295,0.35511,2.91041,1.9909,0.77982,0.40561,3.18148,10/24/19,31,31,12,184,2,92,276,07/13/18,9,7,0,80,2,40,120,02/03/17,10,7,3,181,1,0,181,208.167,0,9,2,3,86300.5,0,3,"1005 HAMPTON BLVD,NORFOLK,VA,23507",05/01/22
495071,186,90,37.1469752,-76.5074528,THE GARDENS AT WARWICK FOREST,1000 OLD DENBEIGH BOULEVARD,NEWPORT NEWS,VA,23602,7578752000,622,Newport News City,Non profit - Corporation,209,Medicare and Medicaid,N,"PATRICK HENRY HOSPITAL, INC.",12/26/69,N,NA,N,Y,N,Resident,Yes,2,NA,2,NA,3,NA,2,NA,4,NA,2,NA,2,NA,NA,NA,1.58146,1.13341,0.26916,1.40257,2.98403,2.50518,0.16625,0.07349,99.5,NA,95.7,NA,1,NA,2.20679,0.70408,0.29191,3.20277,1.46401,1.18219,0.34703,2.93825,02/21/20,11,11,0,76,1,0,76,08/03/18,23,14,6,140,1,0,140,02/16/17,14,14,0,92,1,0,92,100,0,8,8,1,3250,0,1,"1000 OLD DENBEIGH BOULEVARD,NEWPORT NEWS,VA,23602",05/01/22
495077,91,38,37.4126168,-79.1758838,PROMEDICA SKILLED NURSING AND REHAB (LYNCHBURG),2200 LANDOVER PLACE,LYNCHBURG,VA,24501,4348464626,551,Lynchburg City,Non profit - Other,118,Medicare and Medicaid,N,MEDICAL CARE CENTER-LYNCHBURG VA LLC,05/04/70,N,NA,N,N,N,None,Yes,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,1.77502,0.60823,0.64746,1.25569,3.03072,2.82811,0.51266,0.04929,58.4,NA,56.3,NA,1,NA,1.99307,0.68173,0.30816,2.98296,1.81939,0.6552,0.79076,3.20413,11/18/21,11,11,0,56,1,0,56,02/21/19,6,6,0,16,1,0,16,01/25/18,16,15,1,96,1,0,96,49.333,0,1,0,2,1625,0,2,"2200 LANDOVER PLACE,LYNCHBURG,VA,24501",05/01/22
495079,205,87,37.3842377,-77.5073957,HEALTH CARE CENTER LUCY CORR,6800 LUCY CORR BLVD,CHESTERFIELD,VA,23832,8047481511,200,Chesterfield,Government - County,216,Medicare and Medicaid,N,CHESTERFIELD COUNTY HEALTH CENTER COMMONS,04/28/70,Y,NA,N,Y,N,Resident,Yes,1,NA,1,NA,2,NA,1,NA,3,NA,2,NA,2,NA,NA,NA,2.07735,1.14237,0.32943,1.4718,3.54915,3.1179,0.15654,0.0472,55.4,NA,56,NA,2,NA,2.01588,0.68757,0.31408,3.01753,2.10518,1.22016,0.39476,3.70924,04/30/19,28,28,0,152,1,0,152,03/16/18,8,7,0,40,1,0,40,01/06/17,21,14,7,120,1,0,120,109.333,0,5,1,2,69452.5,0,2,"6800 LUCY CORR BLVD,CHESTERFIELD,VA,23832",05/01/22
495085,113,48,37.3075884,-77.2888621,RIVER VIEW ON THE APPOMATTOX HEALTH & REHAB CENTER,201 EPPS STREET,HOPEWELL,VA,23860,8045411445,451,Hopewell City,For profit - Corporation,124,Medicare and Medicaid,N,HOPEWELL HEALTH CARE LLC,01/11/71,N,NA,N,Y,N,Resident,Yes,1,NA,2,NA,4,NA,2,NA,5,NA,1,12,1,12,NA,NA,1.9278,1.04966,0.2481,1.29776,3.22556,2.63445,0.03342,0.07116,59.4,NA,66.7,NA,7,NA,2.04402,0.76595,0.35131,3.16128,1.92674,1.0064,0.26579,3.21777,02/06/20,11,11,3,40,1,0,40,04/27/18,24,20,3,208,1,0,208,02/08/17,6,5,1,24,1,0,24,93.333,0,7,4,2,93229.5,0,2,"201 EPPS STREET,HOPEWELL,VA,23860",05/01/22
495086,86,58,36.8681065,-76.0294435,BAY POINTE REHABILITATION AND NURSING,1148 FIRST COLONIAL RD,VIRGINIA BEACH,VA,23454,7574813321,921,Virginia Beach City,For profit - Corporation,112,Medicare and Medicaid,N,ACCORDIUS HEALTH AT BAY POINTE LLC,09/13/71,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,4,NA,5,NA,3,NA,1,NA,1,NA,NA,NA,1.80326,0.95708,0.34488,1.30195,3.10521,2.71904,0.18306,0.0367,NA,6,NA,6,NA,6,2.05157,0.79597,0.43454,3.28208,1.79563,0.88303,0.2987,2.98369,10/15/21,11,11,0,148,1,0,148,10/26/18,22,20,2,96,1,0,96,04/20/17,4,2,2,12,1,0,12,108,0,8,2,2,61610,1,3,"1148 FIRST COLONIAL RD,VIRGINIA BEACH,VA,23454",05/01/22
495087,214,72,37.2777275,-80.0219709,SALEM HEALTH & REHABILITATION,1945 ROANOKE BLVD,SALEM,VA,24153,5403453894,838,Salem City,For profit - Corporation,240,Medicare and Medicaid,N,SALEM OPERATIONS LLC,11/01/71,N,NA,N,Y,Y,Resident,Yes,3,NA,3,NA,4,NA,4,NA,5,NA,2,NA,3,NA,NA,NA,1.5091,0.60751,0.60939,1.21689,2.72599,2.13199,0.29532,0.08915,56.2,NA,46.2,NA,1,NA,1.94551,0.74226,0.40114,3.08891,1.58463,0.60106,0.57175,2.78311,12/12/19,3,3,0,12,1,0,12,08/17/18,17,17,0,96,1,0,96,05/25/17,11,11,0,52,1,0,52,46.667,0,0,0,0,0,0,0,"1945 ROANOKE BLVD,SALEM,VA,24153",05/01/22
495092,229,97,37.3221986,-79.9435436,FRIENDSHIP HEALTH AND REHAB CENTER,327 HERSHBERGER RD NW,ROANOKE,VA,24012,5402652100,801,Roanoke City,Non profit - Corporation,253,Medicare and Medicaid,N,"FRIENDSHIP HEALTH AND REHAB CENTER, INC.",08/01/74,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,2,NA,4,NA,3,NA,3,NA,NA,NA,1.67374,1.03222,0.48728,1.5195,3.19325,2.58222,0.32395,0.0475,52.7,NA,33.3,NA,0,NA,1.96663,0.71093,0.35435,3.03191,1.73865,1.06628,0.51756,3.32145,06/17/21,7,7,0,28,1,0,28,11/16/18,13,13,0,60,1,0,60,08/10/17,16,9,7,76,1,0,76,46.667,0,5,0,0,0,0,0,"327 HERSHBERGER RD NW,ROANOKE,VA,24012",05/01/22
495093,167,63,38.438652,-78.8565777,HARRISONBURG HLTH & REHAB CNTR,1225 RESERVOIR STREET,HARRISONBURG,VA,22801,5404332623,421,Harrisonburg City,For profit - Corporation,180,Medicare and Medicaid,N,HARRISONBURG OPERATIONS LLC,02/19/75,N,NA,N,N,Y,Resident,Yes,2,NA,2,NA,4,NA,4,NA,4,NA,3,NA,3,NA,NA,NA,1.91794,0.80439,0.55751,1.3619,3.27984,2.57917,0.30477,0.06888,62.5,NA,44.4,NA,0,NA,1.9232,0.74521,0.36835,3.03676,2.03731,0.79271,0.56963,3.40608,04/22/21,12,8,8,60,1,0,60,05/02/19,19,17,3,104,1,0,104,04/19/18,15,15,0,88,2,44,132,86.667,0,6,0,0,0,0,0,"1225 RESERVOIR STREET,HARRISONBURG,VA,22801",05/01/22
495096,139,79,37.5975427,-77.4618146,WESTMINSTER-CANTERBURY OF RICHMOND,1600 WESTBROOK AVE,RICHMOND,VA,23227,8042646000,430,Henrico,Non profit - Church related,158,Medicare and Medicaid,N,WESTMINSTER CANTERBURY CORPORATION,10/01/75,Y,NA,N,N,N,None,Yes,3,NA,2,NA,3,NA,3,NA,4,NA,5,NA,5,NA,NA,NA,2.50573,0.91869,0.82185,1.74054,4.24627,3.83454,0.53157,0.09144,30.1,NA,17.4,NA,0,NA,1.99698,0.64193,0.28215,2.92106,2.56334,1.05101,1.09625,4.58436,03/25/21,4,4,0,52,1,0,52,06/28/18,3,2,0,133,1,0,133,03/30/17,1,1,0,8,1,0,8,71.667,0,0,1,0,0,0,0,"1600 WESTBROOK AVE,RICHMOND,VA,23227",05/01/22
495097,168,69,37.6394048,-77.4934091,PARHAM HEALTH CARE & REHAB CEN,2400 E PARHAM ROAD,RICHMOND,VA,23228,8042649185,430,Henrico,For profit - Partnership,180,Medicare and Medicaid,N,PARHAM CARE CENTER LLC,02/01/79,N,NA,N,Y,Y,Resident,Yes,2,NA,2,NA,4,NA,4,NA,5,NA,2,NA,2,NA,NA,NA,1.3056,0.59201,0.37021,0.96222,2.26782,1.86823,0.1922,0.0292,72,NA,82.4,NA,2,NA,1.97841,0.76255,0.38793,3.12889,1.34816,0.57014,0.35917,2.28576,12/06/18,12,8,4,64,2,32,96,09/28/17,12,10,2,64,1,0,64,07/28/16,9,8,1,40,1,0,40,76,0,9,2,1,70934.5,1,2,"2400 E PARHAM ROAD,RICHMOND,VA,23228",05/01/22
495099,183,116,38.8483715,-77.3158847,FAIRFAX REHABILITATION AND NURSING CENTER,10701 MAIN STREET,FAIRFAX,VA,22030,7032737705,288,Fairfax City,For profit - Corporation,200,Medicare and Medicaid,N,FAIRFAX OPERATOR LLC,04/01/76,N,NA,N,Y,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,2,NA,2,NA,NA,NA,1.92417,1.18159,0.45301,1.6346,3.55878,2.84231,0.20123,0.11368,NA,6,NA,6,2,NA,2.30301,0.84891,0.46534,3.61726,1.70685,1.02218,0.36639,3.10265,10/25/19,3,3,0,12,1,0,12,06/14/18,14,11,0,72,1,0,72,04/19/17,5,5,0,20,1,0,20,33.333,0,0,3,15,42187.24,0,15,"10701 MAIN STREET,FAIRFAX,VA,22030",05/01/22
495102,139,63,38.8601875,-77.1295057,PROMEDICA SKILLED NURSING AND REHAB (ARLINGTON),550 SOUTH CARLIN SPRINGS ROAD,ARLINGTON,VA,22204,7033797200,60,Arlington,For profit - Limited Liability company,161,Medicare and Medicaid,N,MANOR CARE OF ARLINGTON VA LLC,01/03/77,N,NA,N,Y,N,Resident,Yes,2,NA,1,NA,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,1.85021,0.94692,0.72677,1.6737,3.52391,3.2402,0.48657,0.09674,24.5,NA,47.6,NA,3,NA,2.02163,0.66841,0.29361,2.98365,1.86967,1.04039,0.9316,3.72468,02/07/19,37,20,17,295,2,148,443,10/04/17,3,2,1,16,1,0,16,09/22/16,6,2,4,36,1,0,36,232.833,0,12,0,2,19405,0,2,"550 SOUTH CARLIN SPRINGS ROAD,ARLINGTON,VA,22204",05/01/22
495105,156,61,37.3682936,-79.1813942,LYNCHBURG HEALTH & REHABILITATION  CENTER,5615 SEMINOLE AVENUE,LYNCHBURG,VA,24502,4342392657,551,Lynchburg City,For profit - Corporation,180,Medicare and Medicaid,N,LYNCHBURG CARE CENTER LLC,01/01/77,N,SFF Candidate,Y,N,Y,Resident,Yes,1,NA,1,NA,3,NA,3,NA,2,NA,2,NA,2,NA,NA,NA,1.49687,0.57969,0.36741,0.94709,2.44396,1.93054,0.17132,0.09019,74.8,NA,61.5,NA,0,NA,1.97967,0.76006,0.3975,3.13723,1.54467,0.56011,0.34787,2.45674,07/01/21,38,12,27,389,3,272,661,09/17/19,12,10,3,68,1,0,68,08/02/18,15,11,4,68,1,0,68,364.5,0,22,2,3,70193.75,1,4,"5615 SEMINOLE AVENUE,LYNCHBURG,VA,24502",05/01/22
495107,113,45,36.6050402,-79.4106476,PINEY FOREST HEALTH AND REHABILITATION CENTER,450 PINEY FOREST RD,DANVILLE,VA,24540,4347991565,241,Danville City,For profit - Corporation,120,Medicare and Medicaid,N,PINEY FOREST SNF LLC,01/01/78,N,NA,N,Y,Y,Resident,Yes,3,NA,3,NA,4,NA,5,NA,3,NA,2,NA,2,NA,NA,NA,1.95112,0.97928,0.54539,1.52466,3.47579,2.73086,0.29028,0.11383,66.7,NA,56.3,NA,0,NA,2.05223,0.80319,0.41823,3.27364,1.94225,0.89539,0.49079,3.34838,02/07/19,6,6,0,40,1,0,40,10/05/17,11,11,0,52,1,0,52,09/22/16,5,5,0,24,1,0,24,41.333,0,0,0,0,0,0,0,"450 PINEY FOREST RD,DANVILLE,VA,24540",05/01/22
495108,173,68,36.7438135,-76.2473688,CHESAPEAKE HEALTH AND REHABILITATION CENTER,688 KINGSBOROUGH SQUARE,CHESAPEAKE,VA,23320,7575479111,194,Chesapeake City,For profit - Individual,180,Medicare and Medicaid,N,CHESAPEAKE SNF LLC,01/01/78,N,NA,N,N,Y,Both,Yes,2,NA,1,NA,2,NA,2,NA,3,NA,4,NA,4,NA,NA,NA,3.77736,1.94876,0.84825,2.79701,6.57437,5.64126,0.37611,0.16905,45.9,NA,55.6,NA,1,NA,2.01708,0.77755,0.39409,3.18872,3.82569,1.84058,0.81009,6.50203,12/14/21,17,17,7,148,1,0,148,06/10/19,24,22,2,140,2,70,210,09/08/17,12,8,4,88,1,0,88,158.667,0,33,2,3,95734.84,0,3,"688 KINGSBOROUGH SQUARE,CHESAPEAKE,VA,23320",05/01/22
