X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
-76.74159568,37.33745961,2756,14523188,VERNON M. GEDDY JR. OUTPATIENT CENTER,6601 MOORETOWN ROAD,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 345-4310,GENERAL ACUTE CARE,CLOSED,-999,YORK,51199,USA,37.33745961,-76.74159568,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/williamsburg/williamsburg/pages/geddyoutpatientcenter.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NOT AVAILABLE,-999,-999,NOT AVAILABLE,Y
-77.10553472,38.82212364,2757,2522304,INOVA ALEXANDRIA HOSPITAL,4320 SEMINARY ROAD,ALEXANDRIA,VA,22304,NOT AVAILABLE,(703) 504-3000,GENERAL ACUTE CARE,OPEN,318,ALEXANDRIA,51510,USA,38.82212364,-77.10553472,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.inova.org/patient-and-visitor-information/facilities/inova-alexandria-hospital/index.jsp,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,318,NOT AVAILABLE,Y
-80.75728261,37.06817522,2761,7524301,LEWISGALE HOSPITAL PULASKI,2400 LEE HIGHWAY,PULASKI,VA,24301,NOT AVAILABLE,(540) 994-8100,GENERAL ACUTE CARE,OPEN,135,PULASKI,51155,USA,37.06817522,-80.75728261,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.pulaskicommunityhospital.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,135,NOT AVAILABLE,Y
-76.28162015,36.89948466,2762,12623505,BON SECOURS DEPAUL MEDICAL CENTER,150 KINGSLEY LANE,NORFOLK,VA,23505,NOT AVAILABLE,(757) 889-5000,GENERAL ACUTE CARE,OPEN,180,NORFOLK,51710,USA,36.89948466,-76.28162015,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.bonsecourshamptonroads.com/find-a-facility-depaul-medical-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,180,NOT AVAILABLE,Y
-76.18962947,36.85084267,2763,13123502,SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,NORFOLK,VA,23502,NOT AVAILABLE,(757) 261-6000,GENERAL ACUTE CARE,OPEN,250,NORFOLK,51710,USA,36.85084267,-76.18962947,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/leigh/pages/leigh.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,250,NOT AVAILABLE,Y
-78.19835145,38.9303431,2764,822630,VALLEY HEALTH WARREN MEMORIAL HOSPITAL,1000 SHENANDOAH AVENUE,FRONT ROYAL,VA,22630,NOT AVAILABLE,(540) 636-0300,GENERAL ACUTE CARE,OPEN,60,WARREN,51187,USA,38.9303431,-78.19835145,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.valleyhealthlink.com/wmh,NOT AVAILABLE,WARREN MEMORIAL HOSPITAL,51,NON-PROFIT,-999,60,NOT AVAILABLE,Y
-76.39294052,36.98609237,2765,13723607,HAMPTON ROADS SPECIALTY HOSPITAL,245 CHESAPEAKE AVENUE,NEWPORT NEWS,VA,23607,NOT AVAILABLE,(757) 534-5000,LONG TERM CARE,OPEN,25,NEWPORT NEWS,51700,USA,36.98609237,-76.39294052,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.hamptonroadsspecialtyhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,N
-80.01844528,37.27396039,2768,5024153,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,NOT AVAILABLE,(540) 982-2460,MILITARY,OPEN,288,SALEM,51775,USA,37.27396039,-80.01844528,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.salem.va.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,288,NOT AVAILABLE,N
-76.44189922,36.86857265,2769,15623435,BON SECOURS HEALTH CENTER AT HARBOUR VIEW,5818 HARBOUR VIEW BOULEVARD,SUFFOLK,VA,23435,NOT AVAILABLE,(757) 673-5800,GENERAL ACUTE CARE,OPEN,-999,SUFFOLK,51800,USA,36.86857265,-76.44189922,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.bonsecourshamptonroads.com/find-a-facility-harbour-view-health-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,-999,NOT AVAILABLE,N
-76.5945602,36.76054906,2770,15723434,LAKEVIEW MEDICAL CENTER,2000 MEADE PARKWAY,SUFFOLK,VA,23434,NOT AVAILABLE,(757) 539-0250,GENERAL ACUTE CARE,OPEN,-999,SUFFOLK,51800,USA,36.76054906,-76.5945602,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.lakeviewmed.org/index.cfm/fuseaction/site.physicians/action/dtl/phys/99842375.cfm,NOT AVAILABLE,LAKEVIEW MEDICAL CENTER,51,NOT AVAILABLE,-999,-999,NOT AVAILABLE,N
-77.53768307,36.70157604,2771,9623847,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,727 NORTH MAIN STREET,EMPORIA,VA,23847,NOT AVAILABLE,(434) 348-4400,GENERAL ACUTE CARE,OPEN,80,EMPORIA,51595,USA,36.70157604,-77.53768307,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.svrmc.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,80,NOT AVAILABLE,Y
-77.8090621,38.71276596,2772,1820186,FAUQUIER HOSPITAL,500 HOSPITAL DRIVE,WARRENTON,VA,20186,NOT AVAILABLE,(540) 347-2550,GENERAL ACUTE CARE,OPEN,97,FAUQUIER,51061,USA,38.71276596,-77.8090621,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.fauquierhospital.org,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,97,NOT AVAILABLE,Y
-82.62546425,36.94446004,2774,6424273,WELLMONT MOUNTAIN VIEW REGIONAL MEDICAL CENTER,"310 3RD STREET, NE",NORTON,VA,24273,NOT AVAILABLE,(276) 679-9100,GENERAL ACUTE CARE,OPEN,133,NORTON,51720,USA,36.94446004,-82.62546425,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.wellmont.org/our-facilities/hospitals-and-medical-centers/mountain-view-regional-medical-center/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,133,NOT AVAILABLE,Y
-82.44904833,37.16067851,2775,6024228,DICKENSON COMMUNITY HOSPITAL AND GREEN OAK BEHAVIORAL HEALTH,312 HOSPITAL DRIVE,CLINTWOOD,VA,24228,NOT AVAILABLE,(276) 926-0300,GENERAL ACUTE CARE,OPEN,25,DICKENSON,51051,USA,37.16067851,-82.44904833,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.msha.com/dch.cfm?id=1507,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y
-77.12727766,38.88888179,2776,2622205,VIRGINIA HOSPITAL CENTER,1701 NORTH GEORGE MASON DRIVE,ARLINGTON,VA,22205,NOT AVAILABLE,(703) 558-5000,GENERAL ACUTE CARE,OPEN,334,ARLINGTON,51013,USA,38.88888179,-77.12727766,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.virginiahospitalcenter.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,334,NOT AVAILABLE,N
-76.73188735,37.31486161,2777,147123188,THE PAVILION AT WILLIAMSBURG PLACE,5483 MOORETOWN ROAD,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 565-0106,PSYCHIATRIC,OPEN,57,JAMES CITY,51095,USA,37.31486161,-76.73188735,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.pavilionwp.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,57,NOT AVAILABLE,N
-76.18945815,36.85308888,2778,19123502,KEMPSVILLE CENTER FOR BEHAVIORAL HEALTH,860 KEMPSVILLE ROAD,NORFOLK,VA,23502,NOT AVAILABLE,(757) 461-4565,PSYCHIATRIC,OPEN,82,NORFOLK,51710,USA,36.85308888,-76.18945815,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.kempsvillecbh.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,82,NOT AVAILABLE,Y
-77.54673835,39.144816,2779,19220176,NORTH SPRING BEHAVIORAL HEALTHCARE,42009 VICTORY LANE,LEESBURG,VA,20176,NOT AVAILABLE,(703) 777-0800,PSYCHIATRIC,OPEN,100,LOUDOUN,51107,USA,39.144816,-77.54673835,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.northspringleesburg.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,100,NOT AVAILABLE,N
-77.65863951,37.46669461,2781,8423114,BON SECOURS ST. FRANCIS MEDICAL CENTER,13710 ST. FRANCIS BOULEVARD,MIDLOTHIAN,VA,23114,NOT AVAILABLE,(804) 594-7300,GENERAL ACUTE CARE,OPEN,130,CHESTERFIELD,51041,USA,37.46669461,-77.65863951,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://richmond.bonsecours.com/find-a-facility-st-francis-medical-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,130,NOT AVAILABLE,N
-78.87130607,38.43989519,2818,422801,ROCKINGHAM MEMORIAL HOSPITAL,235 CANTRELL AVENUE,HARRISONBURG,VA,22801,NOT AVAILABLE,(540) 689-1000,GENERAL ACUTE CARE,CLOSED,270,HARRISONBURG,51660,USA,38.43989519,-78.87130607,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.rmhonline.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,270,NOT AVAILABLE,N
-77.69623495,37.51019015,3230,125,BON SECOURS ST FRANCIS WATKINS CENTRE,601 WATKINS CENTRE PKWY,MIDLOTHIAN,VA,23113,NOT AVAILABLE,(804) 594-7950,GENERAL ACUTE CARE,OPEN,16,CHESTERFIELD,51041,USA,37.51019015,-77.69623495,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2015/05/23 00:00:00+00,http://richmond.bonsecours.com/find-a-facility-st-francis-watkins-centre.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,16,NOT AVAILABLE,N
-80.71302141,37.33307907,3259,145724134,CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA,24134,NOT AVAILABLE,(540) 921-6000,CRITICAL ACCESS,OPEN,25,GILES,51071,USA,37.33307907,-80.71302141,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.carilionclinic.org/carilion/cgmh,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y
-80.25489167,36.64622956,3278,8324171,PIONEER COMMUNITY HOSPITAL,18688 JEB STUART HIGHWAY,STUART,VA,24171,NOT AVAILABLE,(276) 694-8680,CRITICAL ACCESS,CLOSED,25,PATRICK,51141,USA,36.64622956,-80.25489167,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2016/08/16 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://www.phscorporate.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,25,NOT AVAILABLE,N
-76.97854052,37.54635996,3281,8923124,CUMBERLAND HOSPITAL FOR CHILDREN AND ADOLESCENTS,9407 CUMBERLAND ROAD,NEW KENT,VA,23124,NOT AVAILABLE,(804) 966-2240,CHILDREN,OPEN,110,NEW KENT,51127,USA,37.54635996,-76.97854052,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://cumberlandhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,110,NOT AVAILABLE,N
-76.57322626,37.16195431,3303,13923604,MCDONALD ARMY COMMUNITY HOSPITAL,576 JEFFERSON AVENUE,FORT EUSTIS,VA,23604,NOT AVAILABLE,(757) 314-7500,MILITARY,OPEN,30,NEWPORT NEWS,51700,USA,37.16195431,-76.57322626,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://mcdonald.narmc.amedd.army.mil/default.aspx,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,30,NOT AVAILABLE,N
-79.51751849,37.3514029,3441,5124523,BEDFORD MEMORIAL HOSPITAL,1613 OAKWOOD STREET,BEDFORD,VA,24523,NOT AVAILABLE,(540) 586-2440,GENERAL ACUTE CARE,OPEN,50,BEDFORD CITY,51515,USA,37.3514029,-79.51751849,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.bmhva.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,50,NOT AVAILABLE,Y
-76.30414519,36.86278106,3510,12823507,HOSPITAL FOR EXTENDED RECOVERY,"600 GRESHAM DRIVE, SUITE 700",NORFOLK,VA,23507,NOT AVAILABLE,(757) 668-1700,LONG TERM CARE,OPEN,35,NORFOLK,51710,USA,36.86278106,-76.30414519,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/norfolkgeneral/pages/hospital_for_extended_recovery.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,35,NOT AVAILABLE,Y
-79.18779398,37.43825833,3631,145924503,CENTRA SPECIALTY HOSPITAL,"3300 RIVERMONT AVENUE, KRISE 3",LYNCHBURG,VA,24503,NOT AVAILABLE,(434) 200-1960,LONG TERM CARE,OPEN,36,LYNCHBURG,51680,USA,37.43825833,-79.18779398,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,http://www.centraspecialtyhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,36,NOT AVAILABLE,N
