X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIPCODE
-8791316.286,4633829.75,31651,Bridgewater Volunteer Fire Company,304 North Main Street,Bridgewater,VA,22812
-9138324.175,4390483.631,30937,Washington County Fire and Rescue,15222 Lee Highway,Bristol,VA,24202
-9148336.475,4383120.143,31521,Bristol Fire Department Station 1,211 Lee Street,Bristol,VA,24201
-9150346.185,4383636.506,31647,Bristol Virginia Fire Department Station 2,1603 Euclid Avenue,Bristol,VA,24201
-9148263.43,4392419.572,32879,Goodson - Kinderhook Fire and Rescue Station 1,19864 Benhams Road,Bristol,VA,24202
-9143298.805,4386901.234,39516,Bristol Virginia Fire Department Station 3,105 Suncrest Drive,Bristol,VA,24201-1827
-8635394.151,4686370.748,29566,Nokesville Volunteer Fire and Rescue Department Station 25,9405 Devlins Grove Place,Bristow,VA,20136
-8771736.524,4666450.451,31608,Broadway Volunteer Fire Company,117 North Central Street,Broadway,VA,22815
-8686149.171,4398282.746,29788,Brodnax Volunteer Fire Department Station 2,729 Piney Pond Road,Brodnax,VA,23857
-8787589.645,4445813.388,30946,Brookneal Volunteer Fire Department,103 Wickliffe Avenue,Brookneal,VA,24528
-8708815.811,4694806.467,31760,South Warren Volunteer Fire Department Brownstown Substation,86 Browntown Road,Browntown,VA,22610
-8869991.157,4512787.248,31585,Buchanan Volunteer Fire and Rescue Company 3,19670 Main Street,Buchanan,VA,24066
-8749239.022,4533278.228,30971,Glenmore Volunteer Fire Department,179 Firehouse Road,Buckingham,VA,23921
-8833803.448,4541890.433,31680,Buena Vista Fire Department Company 10,2010 Sycamore Avenue,Buena Vista,VA,24416
-8659064.69,4561790.143,31550,Locust Creek Volunteer Fire Department Company 5,575 Bethany Church Road,Bumpass,VA,23024
-8655696.904,4573483.704,31605,Bumpass Volunteer Fire Department Company 3,96 Fredericks Hall Road,Bumpass,VA,23024
-8661929.56,4550544.954,31613,Holly Grove Volunteer Fire Department Company 4,143 Factory Mill Road,Bumpass,VA,23024
-8500765.098,4559655.346,29654,Fairfields Volunteer Fire Department - Glebe Point Fire House,90 Fire House Road,Burgess,VA,22432
-8601888.751,4692063.393,41064,Fairfax County Fire and Rescue Department Station 14 Burke,9501 Old Burke Lake Road,Burke,VA,22015-3129
-8706076.034,4465363.356,30880,Burkeville Volunteer Fire and Rescue Department,503 Namozine Street,Burkeville,VA,23922
-8859188.677,4414431.512,31545,Callands Volunteer Fire and Rescue Department,11741 Callands Road,Callands,VA,24530
-8522060.453,4574744.284,30110,Callao Volunteer Fire Department,314 US Highway 360,Callao,VA,22435
-8910903.515,4440854.287,30892,Callaway Volunteer Fire Department and Rescue Squad Company 5,8380 Callaway Road,Callaway,VA,24067
-8981808.237,4383716.466,31557,Cana Volunteer Fire Department,391 Fire House Road,Cana,VA,24317
-8461921.207,4476456.035,45065,Cape Charles Volunteer Fire Company,501 Mason Avenue,Cape Charles,VA,23310
-8593904.987,4398963.817,29693,Capron Volunteer Fire and First Aid Squad,18090 Railroad Avenue,Capron,VA,23829
-8519396.003,4429994.983,30040,Carrollton Volunteer Fire Department,15020 Carrollton Boulevard,Carrollton,VA,23314
-8551829.987,4398790.107,29792,Carrsville Volunteer Fire Department,6201 Carrsville Highway,Carrsville,VA,23315
-8615395.811,4444515.756,39459,Carson Volunteer Fire Department - Company 3,19806 Halifax Road,Carson,VA,23830
-8693316.387,4531930.535,30938,Cartersville Volunteer Fire Department,2298 Cartersville Road,Cartersville,VA,23027
-8868368.319,4378818.967,31763,Cascade Volunteer Fire Department,5497 Cascade Road,Cascade,VA,24069
-8694831.575,4666217.58,30768,Castleton Community Volunteer Fire Company,593 Castleton View Road,Castleton,VA,22716
-9162294.85,4423864.164,30780,Castlewood Fire and Rescue Main Station,103 Donnie Dean Drive,Castlewood,VA,24224
-9156324.161,4415808.918,30796,Copper Creek - Moccasin Volunteer Fire Department Station 1,8195 State Highway 71 South,Castlewood,VA,24224
-8918250.249,4493557.911,31717,Roanoke County Fire and Rescue Station 4 - Catawba Fire Department,5585 Catawba Hospital Drive,Catawba,VA,24070
-8931731.347,4492661.51,31749,Upper Craig Creek Volunteer Fire Department,4296 Upper Craig Creek Road,Catawba,VA,24070
-8642500.47,4672900.319,29748,Catlett Volunteer Fire and Rescue Company,3447 Catlett Road,Catlett,VA,20119
-8643174.326,4672336.728,30461,Cedar Run Volunteer Rescue Squad 12,3558 Catlett Road,Catlett,VA,20119
-9113510.338,4436157.151,31541,Belfast - Rosedale Volunteer Fire Department,22998 US Highway 19,Cedar Bluff,VA,24609
-9101375.449,4448158.805,31713,Richlands Fire and Rescue Station 3,560 Honeyrock Road,Cedar Bluff,VA,24609
-8548095.458,4552321.42,44562,Tappahannock - Essex Volunteer Fire Department Station 2,31248 Tidewater Trail,Center Cross,VA,22437
-8619470.163,4698361.685,41980,Fairfax County Fire and Rescue Department Station 17 Centreville,5856 Old Centreville Road,Centreville,VA,20121-2426
-8622080.061,4699284.735,42300,Fairfax County Fire and Rescue Department Station 38 West Centreville,6001 O'Day Drive,Centreville,VA,20120-1612
-9053573.076,4442667.555,30763,Ceres Volunteer Fire Department,5640 West Blue Grass Trail,Ceres,VA,24318
-9067463.678,4433779.58,31645,Nebo Volunteer Fire Department Station 2,2048 Old Wilderness Road,Ceres,VA,24318
-8573754.155,4589455.926,44561,Tappahannock - Essex Volunteer Fire Department Station 3,6699 Tidewater Trail,Champlain,VA,22438
-8629154.424,4710160.807,29798,Loudoun County Fire and Rescue Dulles South Public Safety Center Station 19,25216 Loudoun County Parkway,Chantilly,VA,20152
-8619646.924,4706185.732,41065,Fairfax County Fire and Rescue Department Station 15 Chantilly,14005 Vernon Street,Chantilly,VA,20151-2906
-8582352.586,4493936.501,29606,Charles City Volunteer Fire Department Station 1,7100 Adkins Road,Charles City,VA,23030
-8564090.963,4479673.812,29803,Charles City Volunteer Fire Department Station 3,14330 Wilcox Neck Road,Charles City,VA,23030
-8587996.271,4503071.35,30103,Charles City Volunteer Fire Department Station 2,106 Roxbury Industrial Center,Charles City,VA,23030
-8753544.341,4447008.587,31648,Charlotte Court House Volunteer Fire Department,350 George Washington Highway,Charlotte Court House,VA,23923
-8741204.365,4586056.267,22614,Charlottesville Fire Department Station 10,Ivy Road and US Highway 29,Charlottesville,VA,22903
-8736398.698,4586595.74,30794,Charlottesville Fire Department Station 1,345 US Highway 250 Bypass,Charlottesville,VA,22902
-8724283.58,4595136.074,30854,Stony Point Volunteer Fire Company Station 6,3827 Stony Point Road,Charlottesville,VA,22911
-8737069.883,4583578.976,31601,Charlottesville Fire Department Headquarters,203 Ridge Street,Charlottesville,VA,22902
-8733003.191,4599051.035,31652,Charlottesville - Albemarle Airport Fire Department,100 Bowen Loop Suite 200,Charlottesville,VA,22911
-8731710.628,4598918.184,31705,Hollymead Fire Rescue Station 12,3575 Innovation Drive,Charlottesville,VA,22911
-8736334.979,4591205.082,31745,Seminole Trail Volunteer Fire Department Station 8,3055 Berkmar Drive,Charlottesville,VA,22901
-8737951.968,4579017.372,46719,Monticello Fire Rescue Station 11,1515 Founders Place,Charlottesville,VA,22902
-8734088.538,4411093.367,31587,Chase City Volunteer Fire Department Company 3,213 East Second Street,Chase City,VA,23924
-8848489.402,4424031.75,30844,Climax Volunteer Fire Department,4166 Climax Road,Chatham,VA,24531
-8838818.602,4414696.135,31725,Chatham Volunteer Fire Department,35 Depot Street,Chatham,VA,24531
-8928383.544,4443462.4,30885,Floyd County Volunteer Fire Department 3,1710 Kings Store Road,Check,VA,24072
-8457151.526,4479086.889,44420,Cheriton Volunteer Fire Department,21334 South Bayside Road,Cheriton,VA,23316
-8505713.067,4413388.06,29563,Chesapeake Fire Department Station 11 Dock Landing,2040 Dock Landing Road,Chesapeake,VA,23321
-8491508.844,4409451.109,29570,Chesapeake Fire Department Station 2 Portlock,1205 Freeman Avenue,Chesapeake,VA,23324
-8488108.164,4405396.584,29690,Chesapeake Fire Department Station 4 B M Williams,104 Lenore Trail,Chesapeake,VA,23320
-8490656.499,4414352.734,29815,Chesapeake Fire Department Station 1 South Norfolk,1201 20th Street,Chesapeake,VA,23324
-8480590.086,4396601.973,29918,Chesapeake Fire Department Station 6 Fentress,1109 Whittamore Road,Chesapeake,VA,23322
-8496376.447,4387520.452,30014,Chesapeake Fire Department Station 13 Cornland,2900 Benefit Road,Chesapeake,VA,23322
-8506410.974,4418751.47,30017,Chesapeake Fire Department Station 12 Western Branch,4421 Taylor Road,Chesapeake,VA,23321
-8492423.66,4400585.645,30046,Chesapeake Fire Department Station 15,1345 Bells Mill Road,Chesapeake,VA,23322
-8497956.671,4408531.834,30068,Chesapeake Fire Department Station 9 Camelot,2816 Camelot Boulevard,Chesapeake,VA,23323
-8483758.46,4384357.905,30078,Chesapeake Fire Department Station 7 Saint Brides,3329 Battlefield Boulevard South,Chesapeake,VA,23322
-8485528.861,4411939.828,30101,Chesapeake Fire Department Station 3 Indian River,1801 Rokeby Avenue,Chesapeake,VA,23320
-8505932.69,4408843.133,30121,Chesapeake Fire Department Station 10 Bowers Hill,629 Homestead Road,Chesapeake,VA,23321
-8487562.763,4396539.985,30124,Chesapeake Fire Department Station 5 Great Bridge,451 Hanbury Road,Chesapeake,VA,23322
-8484663.864,4406995.436,30125,Chesapeake Fire Department Station 14 Greenbrier,1200 Volvo Parkway,Chesapeake,VA,23320
-8498691.918,4403581.821,30129,Chesapeake Fire Department Station 8 Deep Creek,209 North George Washington Highway,Chesapeake,VA,23323
-8603725.704,4488003.683,29669,Dupont Teijin Films Fire Department,1 Discovery Drive,Chester,VA,23836
-8607575.833,4485439.785,29730,Chesterfield Fire and Emergency Medical Services Station 6 Enon,1920 East Hundred Road,Chester,VA,23836
-8617969.107,4488682.726,29889,Chesterfield Fire and Emergency Medical Services Station 14 Dutch Gap,2711 West Hundred Road,Chester,VA,23831
-8621410.341,4488673.463,30065,Chesterfield Fire and Emergency Medical Services Station 1 Chester,4325 Old Hundred Road,Chester,VA,23831
-8609228.36,4487458.986,30089,Chesterfield Fire and Emergency Medical Services Station 18 Rivers Bend,901 Bermuda Hundred Road,Chester,VA,23836
-8602879.442,4486495.258,30727,Honeywell International Fire Department,4101 Bermuda Hundred Road,Chester,VA,23836
-8698042.241,4700418.991,31611,Chester Gap Volunteer Fire Department,42 Waterfall Road,Chester Gap,VA,22623
-8645990.497,4489329.359,29779,Chesterfield Fire and Emergency Medical Services Station 19 Winterpock,14010 Beach Road,Chesterfield,VA,23838
-8634700.198,4477836.578,29967,Chesterfield Fire and Emergency Medical Services Station 13 Phillips,10630 River Road,Chesterfield,VA,23838
-9092651.611,4411246.261,31606,Chilhowie Fire Department,315 East Lee Highway,Chilhowie,VA,24319
-8391061.031,4569988.507,29883,Chincoteague Volunteer Fire Company,4028 Main Street,Chincoteague,VA,23336
-8951592.403,4457337.995,31719,Christiansburg Volunteer Fire Department,110 Depot Street West,Christiansburg,VA,24073
-8646446.139,4462946.662,29732,Ford Volunteer Fire Department Station 2,13402 Cox Road,Church Road,VA,23833
-8812388.861,4611465.717,31543,Churchville Volunteer Fire Rescue Department Company 4 Rescue 4,3829 Churchville Avenue,Churchville,VA,24421
-8567787.707,4470717.987,29861,Claremont Volunteer Fire Department Station 2,28 Mystic Avenue,Claremont,VA,23899
-8746292.737,4386290.575,30736,Clarksville Volunteer Fire Department,1008 Virginia Avenue,Clarksville,VA,23927
-8952738.525,4380947.432,31565,Collinstown - Claudville - Drypond - Five Forks Volunteer Fire and Rescue Department Station 2,1828 Red Bank School Road,Claudville,VA,24076
-8693105.823,4758483.911,29823,Frederick County Fire and Rescue Department Station 13 - Clear Brook Volunteer Fire and Rescue,1256 Brucetown Road,Clear Brook,VA,22624
-9144930.544,4431282.058,30734,Cleveland Volunteer Fire Department,88 4th Street,Cleveland,VA,24225
-8614407.699,4690341.363,41979,Fairfax County Fire and Rescue Department Station 16 Clifton,12645 Chapel Road,Clifton,VA,20124-1717
-8885739.628,4553514.987,30746,Clifton Forge Fire Department,701 Church Street,Clifton Forge,VA,24422
-8876998.93,4553572.427,31586,Sharon Volunteer Fire Department and First Responders,3910 Longdale Furnace Road,Clifton Forge,VA,24422
-9169782.454,4461301.482,31660,Clinchco Volunteer Fire Department,132 Shiftey Lane,Clinchco,VA,24226
-9179172.616,4460096.04,30773,Clintwood Volunteer Fire Department Station 1,206 Volunteer Avenue,Clintwood,VA,24228
-8764333.921,4415949.495,31525,Clover Volunteer Fire Department,1020 North Gayle Street,Clover,VA,24534
-8504824.376,4509543.994,30028,Mathews Volunteer Fire Department Station 4,2852 Buckley Hall Road,Cobbs Creek,VA,23035
-9180432.411,4431142.94,31561,Coeburn Volunteer Fire Department,114 East Front Street,Coeburn,VA,24230
-9171776.108,4439085.503,31593,Sandy Ridge Volunteer Fire Department,8013 Doctor Ralph Stanley Highway,Coeburn,VA,24230
-9172461.049,4443020.552,31757,Clintwood Volunteer Fire Department Station 2,8003 DC Caney Ridge Road,Coeburn,VA,24230
-8896091.292,4400955.096,30842,Collinsville Volunteer Fire Department,205 John Redd Boulevard,Collinsville,VA,24078
-8567868.731,4615417.721,29571,Colonial Beach Volunteer Fire Department Engine Company 1,312 Colonial Avenue,Colonial Beach,VA,22443
-8571395.698,4605375.841,29657,Oak Grove Volunteer Fire Department Engine Company 4,121 James Monroe Highway,Colonial Beach,VA,22443
-8617248.584,4474621.195,29607,Colonial Heights Fire and Emergency Medical Services Station 1,200 James Avenue,Colonial Heights,VA,23834
-8615986.182,4476563.342,29951,Colonial Heights Fire and Emergency Medical Services Station 2,215 Dunlop Farms Boulevard,Colonial Heights,VA,23834
-8792043.627,4488057.914,31594,Concord Volunteer Fire Department,12573 Richmond Highway,Concord,VA,24538
-8577540.014,4398526.408,29739,Courtland Volunteer Fire Department,23067 Main Street,Courtland,VA,23837
-8905049.955,4549642.389,30748,Covington Volunteer Fire Department and Rescue Squad Station 1,435 West Hawthorne Street,Covington,VA,24426
-8915866.711,4535442.445,30779,Boiling Springs Volunteer Fire Department and Rescue Squad Station 1,5407 Potts Creek Road,Covington,VA,24426
-8904757.729,4550726.304,30816,MeadWestvaco Fire Department,104 East Riverside Street,Covington,VA,24426
-8914655.885,4553216.443,30922,Dunlap Volunteer Fire and Rescue Substation,4115 Midland Trail,Covington,VA,24426
-8922152.42,4544400.349,31566,Dunlap Volunteer Fire and Rescue Main Station,5518 Dunlap Creek Road,Covington,VA,24426
-8905134.986,4545562.087,31575,Covington Fire Department and Rescue Squad Station 2,820 West Edgemont Drive,Covington,VA,24426
-8903048.931,4561365.63,31590,Falling Spring Volunteer Fire Department and Rescue Squad,303 Friels Drive,Covington,VA,24426
-8903779.187,4536318.774,31609,Boiling Springs Volunteer Fire Department and Rescue Squad Station 2,4911 Rich Patch Road,Covington,VA,24426
-8836530.366,4591061.536,32863,Craigsville Volunteer Fire Department Company 8,120 First Street,Craigsville,VA,24430
