OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
3057,10194292,PRIMARY AND URGENT CARE,540-288-9888,1075 GARRISONVILLE ROAD, ,STAFFORD,VA,22556,8600,STAFFORD,51179,ON THE WEST SIDE OF GARRISONVILLE RD BETWEEN TOLUCA RD AND PATTON DR, , , ,2009/02/09 00:00:00+00,PHONE,2009/02/09 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18593762,-77.469689,38.4742914,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3683
3063,11524591,EMERGENCY USA,703-257-1996,8694 CENTREVILLE ROAD, ,MANASSAS,VA,20110,5266,MANASSAS CITY,51683,LOCATED ON THE NORTHWEST SIDE OF CENTREVILLE RD BETWEEN BREEDEN AVE AND PHOENIX DR, , , ,2009/03/31 00:00:00+00,PHONE,2009/04/03 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123637400,-77.4577469,38.7655542,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3064,10192482,AAA URGENT CARE 24 HOUR,703-354-6665,4600 KING STREET,SUITE 4N,ALEXANDRIA,VA,22302,1278,ALEXANDRIA CITY,51510,"LOCATED ON SW SIDE OF KING ST, 0.05 MI SE OF N BEAUREGARD ST.", , , ,2006/12/18 00:00:00+00,PHONE,2006/12/18 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",19456481,-77.1074242,38.8408072,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_3752
3068,11521797,LADYSMITH URGENT CARE,804-448-4885,17428 CENTER DRIVE,SUITE E,RUTHER GLEN,VA,22546,2885,CAROLINE,51033,LOCATED ON THE WEST SIDE OF CENTER DR BETWEEN COMMERCE WAY AND LADYSMITH RD, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",736215525,-77.5117803,38.0194678,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3071,11524592,OLD TOWN MANASSAS MEDICAL CENTER INCORPORATED,703-365-0397,9309 CENTREVILLE ROAD, ,MANASSAS,VA,20110,5132,MANASSAS CITY,51683,LOCATED ON THE EAST SIDE OF ZEBEDEE ST BETWEEN CENTREVILLE RD AND QUARRY RD, , , ,2009/03/31 00:00:00+00,PHONE,2009/03/31 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18470434,-77.468373,38.7528106,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3072,11522299,FAMILY DOCS ON CALL,540-341-1734,493 BLACKWELL ROAD,SUITE 202,WARRENTON,VA,20186,2628,FAUQUIER,51061,LOCATED ON THE NORTHEAST CORNER OF BLACKWELL RD AND WALKER DR, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",40044815,-77.7897774,38.7250467,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3082,10192501,HEALTH CARE PLUS,804-526-2121,436 CLAIRMONT COURT,100,COLONIAL HEIGHTS,VA,23834,1765,COLONIAL HEIGHTS CITY,51570,"LOCATED ON NE SIDE OF CLAIRMONT CT, 0.05 MI NW OF DUNLOP FARMS BLVD.", , , ,2006/12/18 00:00:00+00,PHONE,2006/12/18 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",34746009,-77.3992886,37.2678459,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_3751
3085,11524589,CARILION CLINIC URGENT CARE - GALAX,276-236-5181,199 HOSPITAL DRIVE, ,GALAX,VA,24333,2454,GALAX CITY,51640,LOCATED ON THE NORTH SIDE OF HOSPITAL DR APPROX 0.30 MILES WEST OF VALLEY ST, , , ,2009/03/31 00:00:00+00,PHONE,2009/03/31 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123604691,-80.9228475,36.672308,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3097,10470788,ANNANDALE URGENT CARE,703-658-7060,7611 LITTLE RIVER TURNPIKE,SUITE 108 W,ANNANDALE,VA,22003,2611,FAIRFAX,51059,ON THE SOUTH SIDE OF LITTLE RIVER TPKE IN BETWEEN HERITAGE DR AND WOODLAND RD, , , ,2008/03/17 00:00:00+00,PHONE,2008/03/17 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18361294,-77.20882,38.8318499,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
3113,10844591,BRISTOW URGENT CARE CENTER,703-330-2255,10390 BRISTOW CENTER DRIVE, ,BRISTOW,VA,20136,2201,PRINCE WILLIAM,51153,"LOCATED ON THE NORTH SIDE OF VINT HILL RD, BETWEEN .1 AND .2 MILES WEST OF THE INTERSECTION OF VINT HILL RD AND NOKESVILLE RD.", , , ,2009/02/06 00:00:00+00,PHONE,2009/02/09 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-77.5500983,38.7322932,TGS,2008Q1,ONENTITY,YES,TGS, 
3137,10422894,RIVERSIDE WILLIAMSBURG MEDICAL ARTS URGENT CARE AND FAMILY PRACTICE,757-220-8300,5231 JOHN TYLER MEMORIAL HIGHWAY, ,WILLIAMSBURG,VA,23185, ,JAMES CITY,51095,LOC ON THE SE CORNER OF THE INT OF JOHN TYLER MEMORIAL HWY AND KINGS WAY., , , ,2008/01/25 00:00:00+00,PHONE,2008/01/25 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123663206,-76.7413097,37.2589209,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
3142,11513083,GLOUCESTER URGENT CARE,804-210-1005,5659 PARKWAY DRIVE, ,GLOUCESTER,VA,23061,3782,GLOUCESTER,51073,LOC ON THE S CORNER OF CANON WAY AND PARKWAY DR, , , ,2009/02/10 00:00:00+00,PHONE,2009/02/11 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-76.5331308,37.3688468,TGS,2008Q1,ONENTITY,YES,TGS, 
3143,11513107,GAINESVILLE URGENT MEDICAL CARE PRIMARY CARE,571-248-7453,7588 GARDNER PARK DRIVE, ,GAINESVILLE,VA,20155,3414,PRINCE WILLIAM,51153,LOCATED ON THE NORTHWEST CORNER OF LEE HWY AND GARDNER PARK DR., , , ,2009/02/11 00:00:00+00,PHONE,2009/02/11 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-77.6218892,38.7941963,TGS,2008Q1,ONENTITY,YES,TGS, 
3144,10844595,GATEWAY MEDICAL URGENT CARE,540-775-8009,11131 JOURNAL PARKWAY, ,KING GEORGE,VA,22485, ,KING GEORGE,51099,"FROM THE INTERSECTION OF VA-205 AND KINGS HWY, GO NORTH ON KINGS HWY BETWEEN .3 AND .4 MILES, THEN SW ON JOURNAL PARKWAY FOR .1 MILES, LOCATED ON SOUTHWEST END OF JOURNAL PARKWAY.", , , ,2009/02/09 00:00:00+00,PHONE,2009/02/09 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING", ,-77.1702238,38.2602311,TGS,2008Q1,ONENTITY,YES,TGS, 
3161,10993786,STAFFORD URGENT CARE,540-720-8000,422 GARRISONVILLE ROAD, ,STAFFORD,VA,22554,1573,STAFFORD,51179,ON THE NORTH SIDE OF GARRISONVILLE RD BETWEEN TRAVIS LN AND ONVILLE RD, , , ,2009/02/09 00:00:00+00,PHONE,2009/02/09 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",33758764,-77.4282391,38.4761984,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3179,10196715,PRIMARY CARE ASSOCIATES,540-745-5700,249 FRANKLIN PIKE SOUTHEAST, ,FLOYD,VA,24091,2893,FLOYD,51063,ON THE NE SIDE OF FRANKLIN PIKE .3 MI SE OF US-221, , , ,2009/02/04 00:00:00+00,PHONE,2009/02/04 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",108595670,-80.2974197,36.9190178,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3733
3197,10422284,PATIENT CHOICE GHENT,757-622-8358,957 WEST 21ST STREET,SUITE E,NORFOLK,VA,23517,1536,NORFOLK CITY,51710,LOCATED ON THE NORTHWEST CORNER OF AZALEA CT AND W 21ST ST., , , ,2009/02/06 00:00:00+00,PHONE,2009/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",25205179,-76.3006989,36.8727825,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3801
3205,10422252,LITTLE CREEK MEDICAL ASSOCIATES,757-583-6338,1326 EAST LITTLE CREEK ROAD, ,NORFOLK,VA,23518,3952,NORFOLK CITY,51710,LOCATED ON THE NORTHEAST CORNER OF MOOSE AVE AND E LITTLE CREEK RD., , , ,2009/02/06 00:00:00+00,PHONE,2009/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",25243843,-76.2362423,36.9161299,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3705
3221,11513105,URGENT MEDICAL CARE INCORPORATED,703-445-8110,17193 WAYSIDE DRIVE, ,DUMFRIES,VA,22026,2766,PRINCE WILLIAM,51153,"LOCATED ON THE NORTHEAST SIDE OF WAYSIDE DR, BETWEEN .1 AND .2 MILES SOUTHEAST OF US-1.", , , ,2009/02/10 00:00:00+00,PHONE,2009/02/10 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24738124,-77.309,38.5788952,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3239,11524614,JOHNSTON MEMORIAL HOSPITAL URGENT CARE CENTER,276-739-8010,603 CAMPUS DRIVE,SUITE 100,ABINGDON,VA,24210,9700,WASHINGTON,51191,LOCATED ON THE SOUTHWEST CORNER OF RUSSELL RD NW AND CAMPUS DR, , , ,2009/04/01 00:00:00+00,PHONE,2009/04/01 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",722745768,-81.9930006,36.7115369,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3240,11524303,PRIMARY AND URGENT CARE LIMITED LIABILITY COMPANY,540-785-9900,4510 PLANK ROAD,SUITE 200,FREDERICKSBURG,VA,22407,138,SPOTSYLVANIA,51177,LOCATED ON THE SOUTH SIDE OF PLANK RD BETWEEN RUTHERFORD DR AND KENNEDY LN, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",90784808,-77.5374777,38.2880885,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3260,11524305,NEXTCARE URGENT CARE,540-785-2727,5825 PLANK ROAD, ,FREDERICKSBURG,VA,22407,6229,SPOTSYLVANIA,51177,LOCATED ON THE NORTH SIDE OF PLANK RD BETWEEN HARRISON RD AND BIG BEN BLVD, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",113330439,-77.5707103,38.2921605,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
3262,11524306,NEXTCARE URGENT CARE,540-373-2424,330 WHITE OAK ROAD, ,FREDERICKSBURG,VA,22405,2792,STAFFORD,51179,LOCATED ON THE SOUTH SIDE OF WHITE OAK RD BETWEEN TOWN AND COUNTRY DR AND LITTLE WHIM RD, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",33756961,-77.4281356,38.3108673,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
3276,10194302,FAIR LAKES URGENT CARE CENTER,703-222-3555,12713 SHOPPES LANE, ,FAIRFAX,VA,22033,3834,FAIRFAX,51059,.10 MILES NORTHEAST OF FAIR LAKES CIR ON THE SOUTHEAST SIDE OF SHOPPES LN, , , ,2009/02/05 00:00:00+00,PHONE,2009/02/05 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18393473,-77.3863854,38.8607798,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3700
3277,10194294,ADVANCED CARE INCORPORATED,434-572-8272,1129 NORTH MAIN STREET, ,SOUTH BOSTON,VA,24592,2547,SOUTH BOSTON CITY,51780,ON THE EAST SIDE OF N MAIN ST BETWEE HODGES ST AND BERNARD ST, , , ,2009/02/06 00:00:00+00,PHONE,2009/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18592153,-78.8979999,36.7041643,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3687
3278,11241579,REDI HEALTH CLINIC,540-989-7334,3971 BRAMBLETON AVENUE, ,ROANOKE,VA,24018,6402,ROANOKE,51161,ON THE WEST SIDE OF BRAMBLETON AVE BETWEEN WESTMORELAND DR AND VALLEY FORGE AVE, , , ,2009/02/06 00:00:00+00,PHONE,2009/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",711564213,-80.0087241,37.2338919,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
