federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,role_played_by_owner_or_manager_in_facility,owner_type,owner_name,ownership_percentage,association_date,location,processing_date
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR MANORCARE, INC.",NO PERCENTAGE PROVIDED,since 07/26/2018,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"PROMEDICA HEALTH SYSTEM, INC",NO PERCENTAGE PROVIDED,since 07/26/2018,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OPERATIONAL/MANAGERIAL CONTROL,Organization,HCR MANOR CARE SERVICES LLC,NOT APPLICABLE,since 12/21/2007,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OPERATIONAL/MANAGERIAL CONTROL,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/22/2017,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,DIRECTOR,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/30/2012,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OFFICER,Individual,"HOOPS, KATHRYN",NOT APPLICABLE,since 11/07/2007,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OFFICER,Individual,"PILE, LUKE",NOT APPLICABLE,since 06/02/2019,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OFFICER,Individual,"ROBERTS, TIMOTHY",NOT APPLICABLE,since 08/31/2021,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OFFICER,Individual,"RODGERS, DAMIAN",NOT APPLICABLE,since 08/14/2020,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,OFFICER,Individual,"SYPE, ANDREA",NOT APPLICABLE,since 01/01/2021,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,MANAGING EMPLOYEE,Individual,"ORCHARD, AMANDA",NOT APPLICABLE,since 03/30/2021,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,MANAGING EMPLOYEE,Individual,"SHARON, ROBERT",NOT APPLICABLE,since 09/01/2020,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,MANAGING EMPLOYEE,Individual,"SHIPMAN, DEAN",NOT APPLICABLE,since 05/01/2016,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DURAN-BALLEN, J ESTEBAN",NOT APPLICABLE,since 01/12/2021,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",8/1/22
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,OPERATIONAL/MANAGERIAL CONTROL,Individual,"HICKS, CHERIE",NOT APPLICABLE,since 03/01/2020,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",8/1/22
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SCOTT, STEPHANIE",NOT APPLICABLE,since 05/20/2019,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",8/1/22
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,DIRECTOR,Individual,"JONES, WILLIAM",NOT APPLICABLE,since 10/10/2017,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",8/1/22
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,DIRECTOR,Individual,"PATEL, KIRTESH",NOT APPLICABLE,since 10/14/2020,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",8/1/22
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,DIRECTOR,Individual,"WOOLWINE, TONYA",NOT APPLICABLE,since 10/01/2009,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",8/1/22
495015,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER,2526 NORTH MAIN STREET,DANVILLE,VA,24540,OFFICER,Individual,"MOORE, PEGGY",NOT APPLICABLE,since 02/28/2008,"2526 NORTH MAIN STREET,DANVILLE,VA,24540",8/1/22
495015,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER,2526 NORTH MAIN STREET,DANVILLE,VA,24540,MANAGING EMPLOYEE,Individual,"SETLIFF, DAN",NOT APPLICABLE,since 01/01/2010,"2526 NORTH MAIN STREET,DANVILLE,VA,24540",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,QUINTO DELTA LLC,89%,since 12/31/2019,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,SKILLED VENTURE LLC,NO PERCENTAGE PROVIDED,since 12/30/2019,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,UKR CONSULTING LLC,10%,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,KOHN FAM TR GST EXEMPT UAD 3-25-13,NO PERCENTAGE PROVIDED,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,NFR 2020 IRRV TR,NO PERCENTAGE PROVIDED,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,RSBRMK HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SK 2013 DELTA TRUST,NO PERCENTAGE PROVIDED,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,TRYKO DELTA HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 12/31/2019,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,UAK 2020 IRRV TR,NO PERCENTAGE PROVIDED,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,YR 2013 DELTA TR UA 03252013,NO PERCENTAGE PROVIDED,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,DIRECTOR,Individual,"SHAW, DONNA",NOT APPLICABLE,since 12/30/2019,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,OFFICER,Individual,"POSEN, MINDEE",NOT APPLICABLE,since 01/01/2022,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,MANAGING EMPLOYEE,Individual,"SHAW, DONNA",NOT APPLICABLE,since 12/30/2019,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,5% OR GREATER SECURITY INTEREST,Organization,M&T BANK,NOT APPLICABLE,since 12/30/2019,"2729 KING ST,ALEXANDRIA,VA,22302",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"ADAMS, JAMES",NOT APPLICABLE,since 05/21/2015,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"BAKER, PRISCILLA",NOT APPLICABLE,since 07/27/2017,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"BECKLEY, HARLAN",NOT APPLICABLE,since 05/15/2014,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"ELLINGTON, DAVID",NOT APPLICABLE,since 01/19/2017,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"GRIZZLE, JAMES",NOT APPLICABLE,since 05/21/2020,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"HARE, RANDOLPH",NOT APPLICABLE,since 01/20/2022,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"HUCH, ROBERT",NOT APPLICABLE,since 05/21/2020,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"KELLY, SEAN",NOT APPLICABLE,since 01/01/2016,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"LUECKE, PAMELA",NOT APPLICABLE,since 05/21/2020,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"ROSS, BENNETT",NOT APPLICABLE,since 05/19/2022,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"RUSSELL, CHRISTOPHER",NOT APPLICABLE,since 07/28/2016,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"RUSSELL, KAREN",NOT APPLICABLE,since 11/21/2019,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"SACKETT, DREWRY",NOT APPLICABLE,since 05/17/2018,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"SUMMERS, BRUCE",NOT APPLICABLE,since 07/27/2017,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"WALSH, NATASHA",NOT APPLICABLE,since 05/23/2019,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"WHITSITT, SUSAN",NOT APPLICABLE,since 05/21/2020,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,DIRECTOR,Individual,"WILDER, LINDA",NOT APPLICABLE,since 05/19/2022,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,OFFICER,Individual,"ADAMS, JAMES",NOT APPLICABLE,since 05/20/2021,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,OFFICER,Individual,"BIGELOW, JAN",NOT APPLICABLE,since 05/04/2020,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,OFFICER,Individual,"BUSH, FELICIA",NOT APPLICABLE,since 01/01/2010,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,OFFICER,Individual,"HUCH, ROBERT",NOT APPLICABLE,since 05/20/2021,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,OFFICER,Individual,"LUECKE, PAMELA",NOT APPLICABLE,since 05/20/2021,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,MANAGING EMPLOYEE,Individual,"BIGELOW, JAN",NOT APPLICABLE,since 05/04/2020,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495034,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,MANAGING EMPLOYEE,Individual,"BUSH, FELICIA",NOT APPLICABLE,since 01/01/2010,"160 KENDAL DRIVE,LEXINGTON,VA,24450",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,BDSHEFFER LLC,20%,since 10/08/2005,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,DJ PETRINE LLC,51%,since 10/08/2005,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"GOODALL, LURY",19%,since 10/08/2006,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"STALLARD, PATRICIA",10%,since 10/08/2005,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"PETRINE, DEBORAH",23%,since 10/08/2006,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"PETRINE, JAMES",23%,since 10/08/2006,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"SHEFFER, BRADY",20%,since 10/08/2006,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,OPERATIONAL/MANAGERIAL CONTROL,Organization,COMMONWEALTH CARE OF ROANOKE INC,NOT APPLICABLE,since 10/05/2005,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,OFFICER,Individual,"ALESANTRINO, JOE",NOT APPLICABLE,since 06/01/2019,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,OFFICER,Individual,"PETRINE, DEBORAH",NOT APPLICABLE,since 10/08/2006,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,MANAGING EMPLOYEE,Individual,"WHITTINGTON, KATELYN",NOT APPLICABLE,since 11/05/2017,"8575 RIXLEW LANE,MANASSAS,VA,20109",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"HCR IV HEALTHCARE, LLC",100%,since 12/21/2007,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR II HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR III HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR MANORCARE, INC.",NO PERCENTAGE PROVIDED,since 07/26/2018,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"PROMEDICA HEALTH SYSTEM, INC",NO PERCENTAGE PROVIDED,since 07/26/2018,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,OPERATIONAL/MANAGERIAL CONTROL,Organization,HCR MANOR CARE SERVICES LLC,NOT APPLICABLE,since 12/21/2007,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,DIRECTOR,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/30/2012,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,OFFICER,Individual,"HOOPS, KATHRYN",NOT APPLICABLE,since 11/07/2007,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,OFFICER,Individual,"PILE, LUKE",NOT APPLICABLE,since 06/02/2019,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,OFFICER,Individual,"ROBERTS, TIMOTHY",NOT APPLICABLE,since 08/31/2021,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,OFFICER,Individual,"RODGERS, DAMIAN",NOT APPLICABLE,since 08/14/2020,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,OFFICER,Individual,"SYPE, ANDREA",NOT APPLICABLE,since 01/01/2021,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,MANAGING EMPLOYEE,Individual,"CATRAMBONE, JOSEPH",NOT APPLICABLE,since 12/01/2021,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
495045,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,MANAGING EMPLOYEE,Individual,"FARMER, MATTHEW",NOT APPLICABLE,since 06/10/2019,"2125 HILLIARD ROAD,RICHMOND,VA,23228",8/1/22
